stock,range,model,mae,rmse,baseline_mae,baseline_rmse
AAPL,1mo,linear_regression,4.653565714446813,5.167741933383768,4.4099884033203125,5.2118047851895115
AAPL,1mo,random_forest,0.6839476521810752,0.6839476521810752,3.5,3.5
AAPL,1mo,lstm,5.67220458984375,6.4828924438425375,4.091986083984375,4.829159464455242
AAPL,3mo,linear_regression,2.9521448396189434,4.104079886486457,3.4308293660481772,4.420572439124292
AAPL,3mo,random_forest,4.458025114876894,5.224292272892432,4.254442003038195,5.058885949601123
AAPL,3mo,lstm,6.4045539269080525,7.18823253519077,3.582303560697113,4.50348123768723
AAPL,6mo,linear_regression,2.9329510008987665,3.831156204965196,3.051596069335935,3.9570153360562252
AAPL,6mo,random_forest,2.309275045449961,2.705224994394806,3.257723028009588,4.146388673551611
AAPL,6mo,lstm,3.6236889648437467,4.552260021463369,3.051596069335935,3.9570153360562244
AAPL,1y,linear_regression,3.100298831032265,4.0424674281961535,3.26619934082031,4.340394968217459
AAPL,1y,random_forest,2.3128688801419783,2.7226786299621613,2.882765100357378,3.722633712011797
AAPL,1y,lstm,5.70230042700674,6.642607257213376,3.2378426346124365,4.305181216532921
AAPL,2y,linear_regression,2.499474029051873,3.4419369374078235,2.727431335449219,3.7709429586164847
AAPL,2y,random_forest,4.230611641396903,5.036176706813607,2.7151744095320556,3.7858776137157246
AAPL,2y,lstm,4.671637204614018,5.696299050489242,2.7132864470529086,3.7544534017524316
AAPL,5y,linear_regression,2.3341221784710497,3.2413261051888402,2.486831239495144,3.5314629144914607
AAPL,5y,random_forest,8.3569556982134,11.931347337097133,2.5055118683845756,3.551231985723523
AAPL,5y,lstm,5.3750014532180055,6.6490706868104335,2.491858225020149,3.5323721511314825
AMZN,1mo,linear_regression,2.8369378546389825,3.5103528598197666,3.721252441406264,4.7186741982573635
AMZN,1mo,random_forest,9.384642181396515,9.384642181396515,7.5250091552734375,7.5250091552734375
AMZN,1mo,lstm,6.167810058593733,6.483039699318046,3.4330017089843863,4.341933651975677
AMZN,3mo,linear_regression,8.279552678546354,8.992661941009475,3.9595845540364536,5.465664510486172
AMZN,3mo,random_forest,23.79323974274324,24.237544311098898,3.208335028754334,4.472992119623768
AMZN,3mo,lstm,32.465168879582336,33.69846640573564,4.230385413536652,5.646184542736387
AMZN,6mo,linear_regression,4.048295109397031,4.965438876794478,3.956801147460934,5.035105390795872
AMZN,6mo,random_forest,7.883216501164395,9.535258435065835,3.9936377785422548,5.183681370809842
AMZN,6mo,lstm,10.34033020019531,12.591839876458366,3.956801147460932,5.03510539079587
AMZN,1y,linear_regression,3.224135323862159,4.157901716493145,3.403600769042969,4.316670504075412
AMZN,1y,random_forest,3.745634117345724,5.112346233169879,3.458085729720744,4.389024334642091
AMZN,1y,lstm,9.196954465379902,11.662588106319332,3.3933341830384474,4.293124097087717
AMZN,2y,linear_regression,3.146874322567177,4.136859888274258,3.1867001342773413,4.172338221113127
AMZN,2y,random_forest,3.16132401344519,4.526435895524311,3.251855909209888,4.230414974338736
AMZN,2y,lstm,4.874779578482752,6.265019248058789,3.1953466434289903,4.1712407671749085
AMZN,5y,linear_regression,2.967463332740473,4.001394476913283,3.1103194035381874,4.314927339675584
AMZN,5y,random_forest,3.810492914592496,5.669781394300935,3.13161351603846,4.337340358812572
AMZN,5y,lstm,4.762669517880393,6.531064503826853,3.1215482439313567,4.322583521802842
JPM,1mo,linear_regression,3.2791473203643164,3.734737108004473,2.149993896484375,2.6606836332723156
JPM,1mo,random_forest,4.170171305338499,4.170171305338499,3.260009765625,3.260009765625
JPM,1mo,lstm,10.405340576171875,10.944909707024205,3.059991455078125,3.8264005076431773
JPM,3mo,linear_regression,3.2875635286821563,3.704213138782449,2.8366622924804688,3.455307222260947
JPM,3mo,random_forest,10.495626999749012,10.970925721623809,3.0455525716145835,3.6964332900134833
JPM,3mo,lstm,10.200737586388222,11.253730372056241,3.4315349872295675,4.428881008497101
JPM,6mo,linear_regression,3.1586895696279726,3.7808154881951612,3.395833740234375,4.442273138268552
JPM,6mo,random_forest,4.509866119346227,5.769231706052022,3.531033602627841,4.642350269838297
JPM,6mo,lstm,5.107697753906252,6.736803362029793,3.395833740234375,4.442273138268552
JPM,1y,linear_regression,2.8020757648989307,3.6333897463154297,3.1880932617187523,4.330038972913346
JPM,1y,random_forest,2.8378011982790428,3.5199812173381315,3.119575013505654,4.2538025796566385
JPM,1y,lstm,6.184905407475494,7.533211147324523,3.2711109834558845,4.411544382682271
JPM,2y,linear_regression,3.082599532926537,4.062275797521392,3.5873651123046875,4.834245328674087
JPM,2y,random_forest,5.792789475907394,7.8705987795757695,3.601823315177996,4.870738165887733
JPM,2y,lstm,5.918519879331683,7.220607340096895,3.6051928831799205,4.84003826409259
JPM,5y,linear_regression,2.6221705345574855,3.4583159496749785,2.9408766909899464,3.966469777147948
JPM,5y,random_forest,29.74044207439229,33.77028863552236,2.9652978220293598,3.988804705902368
JPM,5y,lstm,8.499786921909886,9.957799100241182,2.9438425699869764,3.9654044119194367
